Date,ZLFund BMF
5/6/2019,139.89
5/7/2019,139.95
5/8/2019,140.00
5/9/2019,140.05
5/10/2019,140.14
5/11/2019,140.24
5/12/2019,140.31
5/13/2019,140.38
5/14/2019,140.45
5/15/2019,140.53
5/16/2019,140.61
5/17/2019,140.69
5/18/2019,140.77
5/19/2019,140.86
5/20/2019,140.96
5/21/2019,141.06
5/22/2019,141.16
5/23/2019,141.24
5/24/2019,141.33
5/25/2019,141.41
5/26/2019,141.50
5/27/2019,141.58
5/28/2019,141.67
5/29/2019,141.75
5/30/2019,141.83
5/31/2019,141.91
6/1/2019,141.99
6/2/2019,142.08
6/3/2019,142.16
6/4/2019,142.24
6/5/2019,142.31
6/6/2019,142.37
6/7/2019,142.42
6/8/2019,142.47
6/9/2019,142.52
6/10/2019,142.58
6/11/2019,142.63
6/12/2019,142.69
6/13/2019,142.75
6/14/2019,142.81
6/15/2019,142.87
6/16/2019,142.94
6/17/2019,143.00
6/18/2019,143.07
6/19/2019,143.13
6/20/2019,143.19
6/21/2019,143.25
6/22/2019,143.31
6/23/2019,143.37
6/24/2019,143.47
6/25/2019,143.57
6/26/2019,143.65
6/27/2019,143.74
6/28/2019,143.83
6/29/2019,143.92
6/30/2019,144.01
7/1/2019,144.09
7/2/2019,144.17
7/3/2019,144.26
7/4/2019,144.34
7/5/2019,144.42
7/6/2019,144.51
7/7/2019,144.59
7/8/2019,144.67
7/9/2019,144.75
7/10/2019,144.84
7/11/2019,144.92
7/12/2019,144.99
7/13/2019,145.07
7/14/2019,145.15
7/15/2019,145.23
7/16/2019,145.31
7/17/2019,145.38
7/18/2019,145.46
7/19/2019,145.52
7/20/2019,145.57
7/21/2019,145.58
7/22/2019,145.59
7/23/2019,145.66
7/24/2019,145.72
7/25/2019,145.76
7/26/2019,145.81
7/27/2019,145.84
7/28/2019,145.88
7/29/2019,145.92
7/30/2019,145.96
7/31/2019,146.00
8/1/2019,146.04
8/2/2019,146.08
8/3/2019,146.12
8/4/2019,146.16
8/5/2019,146.21
8/6/2019,146.26
8/7/2019,146.31
8/8/2019,146.36
8/9/2019,146.41
8/10/2019,146.46
8/11/2019,146.51
8/12/2019,146.56
8/13/2019,146.61
8/14/2019,146.66
8/15/2019,146.71
8/16/2019,146.75
8/17/2019,146.80
8/18/2019,146.85
8/19/2019,146.89
8/20/2019,146.93
8/21/2019,146.98
8/22/2019,147.02
8/23/2019,147.07
8/24/2019,147.11
8/25/2019,147.15
8/26/2019,147.20
8/27/2019,147.24
8/28/2019,147.28
8/29/2019,147.32
8/30/2019,147.36
8/31/2019,147.41
9/1/2019,147.45
9/2/2019,147.49
9/3/2019,147.53
9/4/2019,147.57
9/5/2019,147.61
9/6/2019,147.65
9/7/2019,147.69
9/8/2019,147.73
9/9/2019,147.77
9/10/2019,147.81
9/11/2019,147.85
9/12/2019,147.89
9/13/2019,147.93
9/14/2019,147.97
9/15/2019,148.01
9/16/2019,148.05
9/17/2019,148.08
9/18/2019,148.12
9/19/2019,148.16
9/20/2019,148.20
9/21/2019,148.24
9/22/2019,148.28
9/23/2019,148.31
9/24/2019,148.34
9/25/2019,148.37
9/26/2019,148.41
9/27/2019,148.44
9/28/2019,148.47
9/29/2019,148.51
9/30/2019,148.54
10/1/2019,148.57
10/2/2019,148.61
10/3/2019,148.64
10/4/2019,148.67
10/5/2019,148.70
10/6/2019,148.73
10/7/2019,148.76
10/8/2019,148.79
10/9/2019,148.82
10/10/2019,148.84
