Date,Price
2019-07-30,145.96
2019-07-31,146.00
2019-08-01,146.04
2019-08-02,146.08
2019-08-03,146.12
2019-08-04,146.16
2019-08-05,146.21
2019-08-06,146.26
2019-08-07,146.31
2019-08-08,146.36
2019-08-09,146.41
2019-08-10,146.46
2019-08-11,146.51
2019-08-12,146.56
2019-08-13,146.61
2019-08-14,146.66
2019-08-15,146.71
2019-08-16,146.75
2019-08-17,146.80
2019-08-18,146.85
2019-08-19,146.89
2019-08-20,146.93
2019-08-21,146.98
2019-08-22,147.02
2019-08-23,147.07
2019-08-24,147.11
2019-08-25,147.15
2019-08-26,147.20
2019-08-27,147.24
2019-08-28,147.28
2019-08-29,147.32
2019-08-30,147.36
2019-08-31,147.41
2019-09-01,147.45
2019-09-02,147.49
2019-09-03,147.53
2019-09-04,147.57
2019-09-05,147.61
2019-09-06,147.65
2019-09-07,147.69
2019-09-08,147.73
2019-09-09,147.77
2019-09-10,147.81
2019-09-11,147.85
2019-09-12,147.89
2019-09-13,147.93
2019-09-14,147.97
2019-09-15,148.01
2019-09-16,148.05
2019-09-17,148.08
2019-09-18,148.12
2019-09-19,148.16
2019-09-20,148.20
2019-09-21,148.24
2019-09-22,148.28
2019-09-23,148.31
2019-09-24,148.34
2019-09-25,148.37
2019-09-26,148.41
2019-09-27,148.44
2019-09-28,148.47
2019-09-29,148.51
2019-09-30,148.54
2019-10-01,148.57
2019-10-02,148.61
2019-10-03,148.64
2019-10-04,148.67
2019-10-05,148.70
2019-10-06,148.73
2019-10-07,148.76
2019-10-08,148.79
2019-10-09,148.82
2019-10-10,148.84
2019-10-11,148.88
2019-10-12,148.92
2019-10-13,148.96
2019-10-14,149.01
2019-10-15,149.05
2019-10-16,149.08
2019-10-17,149.11
2019-10-18,149.14
2019-10-19,149.17
2019-10-20,149.20
2019-10-21,149.23
2019-10-22,149.26
2019-10-23,149.29
2019-10-24,149.32
2019-10-25,149.34
2019-10-26,149.37
2019-10-27,149.40
2019-10-28,149.43
2019-10-29,149.47
2019-10-30,149.51
2019-10-31,149.55
2019-11-01,149.58
2019-11-02,149.61
2019-11-03,149.65
2019-11-04,149.69
2019-11-05,149.73
2019-11-06,149.78
2019-11-07,149.84
2019-11-08,149.90
2019-11-09,149.95
2019-11-10,150.00
2019-11-11,150.06
2019-11-12,150.10
2019-11-13,150.14
2019-11-14,150.19
2019-11-15,150.23
2019-11-16,150.29
2019-11-17,150.34
2019-11-18,150.39
2019-11-19,150.43
2019-11-20,150.46
2019-11-21,150.49
2019-11-22,150.52
2019-11-23,150.54
2019-11-24,150.57
2019-11-25,150.58
2019-11-26,150.61
2019-11-27,150.65
2019-11-28,150.69
2019-11-29,150.74
2019-11-30,150.77
2019-12-01,150.80
2019-12-02,150.82
2019-12-03,150.85
2019-12-04,150.86
2019-12-05,150.89
2019-12-06,150.92
2019-12-07,150.94
2019-12-08,150.96
2019-12-09,150.96
2019-12-10,151.01
2019-12-11,151.05
2019-12-12,151.12
2019-12-13,151.19
2019-12-14,151.24
2019-12-15,151.30
2019-12-16,151.35
2019-12-17,151.41
2019-12-18,151.45
2019-12-19,151.49
2019-12-20,151.52
2019-12-21,151.55
2019-12-22,151.59
2019-12-23,151.62
2019-12-24,151.65
2019-12-25,151.68
2019-12-26,151.71
2019-12-27,151.75
2019-12-28,151.78
2019-12-29,151.81
2019-12-30,151.84
2019-12-31,151.87
2020-01-01,151.91
2020-01-02,151.94
2020-01-03,151.98
2020-01-04,152.01
2020-01-05,152.04
2020-01-06,152.08
2020-01-07,152.12
2020-01-08,152.17
2020-01-09,152.23
2020-01-10,152.28
2020-01-11,152.34
2020-01-12,152.41
2020-01-13,152.47
2020-01-14,152.53
2020-01-15,152.62
2020-01-16,152.72
2020-01-17,152.81
2020-01-18,152.89
2020-01-19,152.97
2020-01-20,153.03
2020-01-21,153.08
2020-01-22,153.13
2020-01-23,153.17
2020-01-24,153.21
2020-01-25,153.25
2020-01-26,153.29
2020-01-27,153.33
2020-01-28,153.37
2020-01-29,153.42
2020-01-30,153.47
2020-01-31,153.53
2020-02-01,153.58
2020-02-02,153.64
2020-02-03,153.69
2020-02-04,153.75
2020-02-05,153.80
2020-02-06,153.86
2020-02-07,153.94
2020-02-08,154.02
2020-02-09,154.12
2020-02-10,154.23
2020-02-11,154.33
2020-02-12,154.44
2020-02-13,154.53
2020-02-14,154.63
2020-02-15,154.73
2020-02-16,154.82
2020-02-17,154.90
2020-02-18,154.97
2020-02-19,155.05
2020-02-20,155.11
2020-02-21,155.17
2020-02-22,155.22
2020-02-23,155.27
2020-02-24,155.33
2020-02-25,155.39
2020-02-26,155.43
2020-02-27,155.48
2020-02-28,155.52
2020-02-29,155.56
2020-03-01,155.59
2020-03-02,155.62
2020-03-03,155.65
2020-03-04,155.68
2020-03-05,155.71
2020-03-06,155.73
2020-03-07,155.76
2020-03-08,155.80
2020-03-09,155.83
2020-03-10,155.86
2020-03-11,155.89
2020-03-12,155.92
2020-03-13,155.94
2020-03-14,155.96
2020-03-15,155.99
2020-03-16,156.01
2020-03-17,156.04
2020-03-18,156.07
2020-03-19,156.10
2020-03-20,156.13
2020-03-21,156.16
2020-03-22,156.19
2020-03-23,156.22
2020-03-24,156.25
2020-03-25,156.28
2020-03-26,156.30
2020-03-27,156.33
2020-03-28,156.36
2020-03-29,156.38
2020-03-30,156.41
2020-03-31,156.43
2020-04-01,156.45
2020-04-02,156.47
2020-04-03,156.49
2020-04-04,156.51
2020-04-05,156.53
2020-04-06,156.55
2020-04-07,156.57
2020-04-08,156.59
2020-04-09,156.61
2020-04-10,156.63
2020-04-11,156.66
2020-04-12,156.68
2020-04-13,156.71
2020-04-14,156.73
2020-04-15,156.76
2020-04-16,156.79
2020-04-17,156.81
2020-04-18,156.84
2020-04-19,156.87
2020-04-20,156.90
2020-04-21,156.93
2020-04-22,156.95
2020-04-23,156.98
2020-04-24,157.02
2020-04-25,157.06
2020-04-26,157.11
2020-04-27,157.16
2020-04-28,157.20
2020-04-29,157.25
2020-04-30,157.33
2020-05-01,157.40
2020-05-02,157.46
2020-05-03,157.51
2020-05-04,157.58
2020-05-05,157.63
2020-05-06,157.67
2020-05-07,157.70
2020-05-08,157.73
2020-05-09,157.78
2020-05-10,157.82
2020-05-11,157.86
2020-05-12,157.91
2020-05-13,157.94
2020-05-14,157.98
2020-05-15,158.05
2020-05-16,158.13
2020-05-17,158.23
2020-05-18,158.33
2020-05-19,158.44
2020-05-20,158.53
2020-05-21,158.58
2020-05-22,158.63
2020-05-23,158.67
2020-05-24,158.71
2020-05-25,158.76
2020-05-26,158.81
2020-05-27,158.86
2020-05-28,158.91
